color_name,hex_code,hue_angle,L,C,H
fresh green,#69D84F,108.6,77.7,79.9,135.3
nasty green,#70B23F,94.4,66.2,64.9,128.8
warm purple,#952E8F,303.5,38.4,62.9,329.6
yellowish tan,#FCFC81,60.0,96.8,60.5,105.5
dark grass green,#388004,94.8,47.3,65.7,129.8
pinkish tan,#D99B82,17.2,69.3,30.0,48.0
strong blue,#0C06F7,241.5,31.6,129.4,306.2
toxic green,#61DE2A,101.7,79.0,94.8,132.2
windows blue,#3778BF,211.3,49.5,43.3,274.2
blue blue,#2242C7,228.4,34.7,81.4,298.2
blue with a hint of purple,#533CC6,250.0,36.3,83.2,304.5
bright sea green,#05FFA6,158.6,89.1,75.6,157.6
dark green blue,#1F6357,169.4,37.7,24.3,178.6
deep turquoise,#017374,180.5,43.5,27.6,197.7
green teal,#0CB577,158.0,65.3,57.1,158.4
strong pink,#FF0789,328.5,55.3,84.8,359.5
lavender pink,#DD85D7,304.1,67.3,53.6,328.6
light moss green,#A6C875,84.6,76.5,45.5,123.8
olive yellow,#C2B709,56.4,73.1,74.7,99.2
pig pink,#E78EA5,344.5,68.8,36.7,3.6
desert,#CCAD60,42.8,71.9,43.4,87.8
purply,#983FB2,286.4,43.4,70.5,320.5
candy pink,#FF63E9,308.5,66.6,83.5,332.4
kiwi green,#8EE53F,91.4,83.0,85.7,127.1
light grey green,#B7E1A1,99.4,85.2,36.9,133.0
orange pink,#FF6F52,10.1,64.4,68.3,39.1
very light brown,#D3B683,38.3,75.4,30.0,83.7
eggplant purple,#430541,301.9,13.7,41.2,329.2
liliac,#C48EFD,269.2,68.1,63.2,310.9
custard,#FFFD78,59.1,97.2,64.9,104.5
darkish pink,#DA467D,337.7,52.7,61.7,1.7
deep brown,#410200,1.8,10.3,33.3,29.1
greenish beige,#C9D179,65.5,81.5,45.4,110.3
manilla,#FFFA86,57.5,96.6,57.4,103.7
browny green,#6F6C0A,58.2,44.4,49.2,101.4
kelley green,#009337,142.4,53.1,65.8,144.1
sickly yellow,#D0E429,66.4,86.5,84.0,109.1
sunny yellow,#FFF917,58.4,95.6,93.3,101.4
azul,#1D5DEC,221.4,44.4,84.5,294.2
darkgreen,#054907,121.8,26.2,45.6,137.3
green/yellow,#B5CE08,67.6,78.5,82.6,110.4
pale gold,#FDDE6C,47.2,89.0,58.9,92.5
sun yellow,#FFDF22,51.3,89.0,84.7,93.8
burple,#6832E3,258.3,39.2,102.2,308.1
butterscotch,#FDB147,34.9,77.7,65.5,73.6
indian red,#850E04,4.7,27.6,60.8,39.5
poison green,#40FD14,108.7,87.7,114.7,134.6
bright yellow green,#9DFF00,83.1,91.1,105.3,124.0
squash,#F2AB15,40.7,74.9,77.1,78.4
cinnamon,#AC4F06,26.4,44.8,63.2,56.7
radioactive green,#2CFA1F,116.4,86.5,113.7,136.1
raw sienna,#9A6200,38.2,46.5,56.6,73.3
baby purple,#CA9BF7,270.7,71.4,52.5,311.3
orangeish,#FD8D49,22.7,69.8,65.3,55.2
rust brown,#8B3103,20.3,33.3,57.1,50.2
sand brown,#CBA560,38.7,69.8,41.1,82.3
tealish green,#0CDC73,149.7,77.6,77.9,149.8
burnt siena,#B75203,26.3,47.1,67.4,56.2
dusk blue,#26538D,213.8,35.0,37.1,278.2
pale light green,#B1FC99,105.5,92.2,57.3,135.4
rosy pink,#F6688E,343.9,62.9,58.2,7.0
light bluish green,#76FDA8,142.2,90.3,62.9,151.8
light bright green,#53FE5C,123.2,88.7,96.8,139.5
tiffany blue,#7BF2DA,167.9,88.3,39.3,178.2
browny orange,#CA6B02,31.5,55.1,70.5,62.7
nice blue,#107AB0,200.2,48.5,37.1,258.1
orangey yellow,#FDB915,42.4,79.4,80.4,80.8
straw,#FCF679,57.3,95.2,61.6,103.1
very dark brown,#1D0200,4.1,2.8,10.7,23.7
terracota,#CB6843,16.3,55.1,52.8,46.5
clear blue,#247AFD,216.2,53.4,75.6,287.8
foam green,#90FDA9,133.8,91.3,57.6,147.8
light gold,#FDDC5C,47.7,88.4,65.2,92.3
seafoam blue,#78D1B6,161.8,77.9,33.4,171.3
violet pink,#FB5FFC,299.6,66.3,92.1,327.3
wintergreen,#20F986,148.2,86.9,83.8,150.1
yellow tan,#FFE36E,48.4,90.5,59.8,94.0
dark fuchsia,#9D0759,327.2,34.1,59.2,355.7
indigo blue,#3A18B1,253.3,25.9,91.8,307.1
light yellowish green,#C2FF89,91.0,93.8,63.1,127.5
pale magenta,#D767AD,322.5,59.1,54.8,342.1
rich purple,#720058,313.7,24.6,53.9,339.3
sunflower yellow,#FFDA03,51.2,87.7,87.5,92.2
green/blue,#01C08D,164.0,69.2,54.6,164.6
leather,#AC7434,32.0,53.5,46.0,69.7
racing green,#014600,119.1,24.9,46.9,136.1
vivid purple,#9900FA,276.7,43.8,120.2,314.5
muted pink,#D1768F,343.5,60.3,38.5,3.3
canary,#FDFF63,60.8,97.3,74.4,105.1
darkish purple,#751973,301.3,28.7,57.9,328.6
true green,#089404,118.3,53.2,79.0,136.0
dark slate blue,#214761,204.4,28.6,19.9,256.8
flat blue,#3C73A8,209.4,47.0,33.8,268.1
rich blue,#021BF9,233.9,33.2,125.9,305.1
greenblue,#23C48B,158.8,70.7,55.7,161.5
icky green,#8FAE22,73.3,66.7,68.4,114.9
light khaki,#E6F2A2,69.0,93.0,40.7,113.6
warm blue,#4B57DB,235.0,43.4,78.2,298.1
deep sea blue,#015482,201.4,33.9,32.0,263.9
carmine,#9D0216,352.3,32.4,66.6,33.1
dark yellow green,#728F02,72.3,55.3,64.3,114.7
plum purple,#4E0550,298.4,17.0,48.1,327.2
golden rod,#F9BC08,44.8,79.7,81.6,83.3
old pink,#C77986,350.0,59.5,32.6,10.6
blood orange,#FE4B03,17.2,58.1,94.8,46.3
sand yellow,#FCE166,49.2,89.6,62.4,94.5
clay brown,#B2713D,26.7,53.6,44.1,61.9
dark blue grey,#1F3B4D,203.5,23.5,14.9,252.4
light green blue,#56FCA2,147.5,89.0,69.7,153.7
warm pink,#FB5581,344.1,60.4,66.9,9.7
dodger blue,#3E82FC,218.5,56.1,69.9,286.7
gross green,#A0BF16,71.0,72.8,76.7,113.2
sap green,#5C8B15,83.9,52.7,61.9,122.8
highlighter green,#1BFC06,114.9,86.9,117.7,135.7
raw umber,#A75E09,32.3,47.3,58.9,65.4
vivid blue,#152EFF,233.6,36.6,121.1,303.8
light greenish blue,#63F7B4,152.8,88.2,58.5,159.3
mud green,#606602,63.6,41.2,49.0,106.4
pinky,#FC86AA,341.7,69.9,48.6,1.8
darkblue,#030764,237.5,9.7,63.2,304.8
rosa,#FE86A4,345.0,70.0,48.8,5.9
lipstick,#D5174E,342.6,46.1,72.7,16.9
claret,#680018,346.2,20.1,46.1,23.7
dandelion,#FEDF08,52.4,88.9,88.0,94.1
orangered,#FE420F,12.8,57.1,94.8,43.7
ruby,#CA0147,339.1,42.8,72.1,16.8
greenish turquoise,#00FBB0,162.1,88.0,70.2,161.5
pastel red,#DB5856,0.9,54.8,58.3,28.5
piss yellow,#DDD618,57.9,83.7,82.4,100.9
bright cyan,#41FDFE,180.3,91.0,46.2,197.3
algae green,#21C36F,148.9,69.8,66.2,151.8
darkish red,#A90308,358.2,35.0,74.5,38.1
reddy brown,#6E1005,6.3,22.6,50.6,38.9
blush pink,#FE828C,355.2,68.7,50.8,19.1
camouflage green,#4B6113,76.9,38.0,43.8,117.6
lawn green,#4DA409,93.7,60.0,77.9,129.3
vibrant blue,#0339F8,226.8,37.3,112.6,301.9
purple/blue,#5D21D0,260.6,33.9,100.7,309.0
saffron,#FEB209,41.4,77.8,81.6,78.1
warm brown,#964E02,30.8,41.1,56.3,62.6
bubble gum pink,#FF69AF,332.0,65.3,64.2,352.8
greenish cyan,#2AFEB7,159.9,89.3,67.5,162.3
butter,#FFFF81,60.0,97.8,61.8,105.4
dusty orange,#F0833A,24.1,65.8,66.8,56.8
off yellow,#F1F33F,60.7,93.1,82.7,104.2
pale olive green,#B1D27B,82.8,80.1,46.9,122.6
orangish,#FC824A,18.9,67.4,66.0,49.9
leaf,#71AA34,89.0,63.8,64.6,125.7
dried blood,#4B0101,0.0,12.7,38.1,30.9
lightish purple,#A552E6,273.6,51.5,85.8,314.0
rusty red,#AF2F0D,12.6,39.9,69.5,43.6
lavender blue,#8B88F8,241.6,61.5,62.8,297.3
light grass green,#9AF764,98.0,89.1,80.1,130.8
sunflower,#FFC512,45.3,82.5,82.5,84.8
brick orange,#C14A09,21.2,47.3,71.6,50.8
lightish red,#FE2F4A,352.2,55.7,84.0,26.3
pure blue,#0203E2,239.7,28.3,121.5,306.2
twilight blue,#0A437A,209.5,28.1,36.5,278.1
violet red,#A50055,329.1,35.3,61.4,0.2
yellowy brown,#AE8B0C,47.0,59.4,62.3,87.6
carnation,#FD798F,350.0,66.9,53.7,13.4
muddy yellow,#BFAC05,53.9,69.9,72.1,96.0
dark seafoam green,#3EAF76,149.7,64.2,49.5,156.0
deep rose,#C74767,345.0,49.0,54.2,10.0
dusty red,#B9484E,356.8,46.3,50.5,23.9
lemon lime,#BFFE28,77.7,92.6,96.0,118.5
purple/pink,#D725DE,297.7,53.0,99.3,326.8
brown yellow,#B29705,50.6,63.0,66.2,91.9
banana yellow,#FAFE4B,61.3,96.7,82.8,105.0
lipstick red,#C0022F,345.8,40.3,72.9,26.2
water blue,#0E87CC,201.8,53.8,44.2,263.9
vibrant purple,#AD03DE,286.6,44.6,106.1,319.9
baby green,#8CFF9E,129.4,91.5,63.8,145.2
sandy yellow,#FDEE73,53.5,93.1,61.2,99.4
cool green,#33B864,142.1,66.4,63.1,148.9
purpley,#8756E4,260.7,48.8,82.7,307.9
light mustard,#F7D560,46.5,86.1,60.8,91.2
turtle green,#75B84F,98.3,68.5,60.9,131.1
bright olive,#9CBB04,70.2,71.3,77.8,112.9
