,midnight color,night blue color,dark maroon color,dark purple color,dried blood color,very dark green color,plum color,ultramarine color,dark olive color,evergreen color,dark red color,brown color,darkish purple color,dark blue green color,mud brown color,deep teal color,rich blue color,blue purple color,dark turquoise color,auburn color,blue color,dark green blue color,purplish blue color,russet color,rose red color,burnt umber color,magenta color,deep turquoise color,azul color,cinnamon color,light indigo color,muted blue color,raw sienna color,bright violet color,jungle green color,bluish color,dark pink color,bright purple color,purpley pink color,tomato red color,teal blue color,swamp green color,fire engine red color,pinky purple color,vermillion color,orangish red color,pinky red color,dark yellow green color,lightish red color,red orange color,reddish orange color,purpleish pink color,blood orange color,bright magenta color,bright lavender color,dusky pink color,pumpkin color,perrywinkle color,medium green color,grass color,orange pink color,dusty pink color,dusty orange color,nasty green color,salmon color,purply pink color,liliac color,pig pink color,greenish teal color,orangeish color,dark lime green color,tangerine color,burnt yellow color,blush color,tan color,squash color,light orange color,orange yellow color,butterscotch color,green/yellow color,golden rod color,weird green color,golden yellow color,hospital green color,sickly yellow color,sandy color,fluro green color,light gold color,bright light blue color,yellowy green color,robin's egg blue color,light sea green color,light bluish green color,chartreuse color,mint green color,key lime color,light khaki color,green yellow color,bright yellow color,butter yellow color,light yellow color
midnight color,0.0,8.199999999999989,84.39999999999998,26.899999999999977,95.09999999999997,157.0,46.19999999999999,11.300000000000011,173.7,139.70000000000002,102.80000000000001,130.6,32.80000000000001,113.60000000000002,145.29999999999998,90.80000000000001,9.300000000000011,11.899999999999977,102.5,112.39999999999998,3.0,117.20000000000002,12.599999999999966,113.79999999999998,84.09999999999997,117.39999999999998,55.599999999999966,98.10000000000002,1.6000000000000227,120.89999999999998,6.800000000000011,31.900000000000034,137.5,20.69999999999999,145.3,24.400000000000034,71.09999999999997,23.0,35.69999999999999,106.89999999999998,72.60000000000002,174.6,104.0,34.599999999999966,106.19999999999999,107.39999999999998,90.39999999999998,178.89999999999998,90.5,107.89999999999998,107.29999999999998,37.5,110.5,36.5,20.80000000000001,71.89999999999998,126.6,0.5999999999999659,154.10000000000002,165.4,103.30000000000001,76.69999999999999,121.0,167.0,96.5,33.80000000000001,15.099999999999966,67.80000000000001,136.70000000000002,119.39999999999998,174.3,130.7,152.1,100.09999999999997,150.5,142.6,134.1,140.29999999999998,137.79999999999998,174.6,147.5,146.10000000000002,149.6,147.70000000000002,173.29999999999998,159.1,159.9,156.5,95.4,179.5,86.9,146.5,144.0,179.60000000000002,150.9,167.3,177.79999999999998,179.4,166.6,168.5,169.1
night blue color,8.199999999999989,0.0,76.19999999999999,18.69999999999999,86.89999999999998,165.2,38.0,3.1000000000000227,165.5,147.9,94.60000000000002,122.4,24.600000000000023,121.80000000000001,137.1,99.0,1.1000000000000227,3.6999999999999886,110.69999999999999,104.19999999999999,5.199999999999989,125.4,4.399999999999977,105.6,75.89999999999998,109.19999999999999,47.39999999999998,106.30000000000001,9.800000000000011,112.69999999999999,1.3999999999999773,40.10000000000002,129.3,12.5,153.5,32.60000000000002,62.89999999999998,14.800000000000011,27.5,98.69999999999999,80.80000000000001,166.4,95.80000000000001,26.399999999999977,98.0,99.19999999999999,82.19999999999999,170.7,82.30000000000001,99.69999999999999,99.10000000000002,29.30000000000001,102.30000000000001,28.30000000000001,12.600000000000023,63.69999999999999,118.4,7.600000000000023,162.3,173.6,95.10000000000002,68.5,112.80000000000001,175.2,88.30000000000001,25.600000000000023,6.899999999999977,59.60000000000002,144.9,111.19999999999999,177.5,122.5,143.9,91.89999999999998,142.3,134.4,125.9,132.1,129.6,166.4,139.3,154.3,141.4,155.9,165.1,150.9,168.1,148.3,103.6,172.3,95.1,154.7,152.2,172.2,159.1,175.5,169.6,172.4,158.4,160.3,160.9
dark maroon color,84.39999999999998,76.19999999999999,0.0,57.5,10.7,118.60000000000001,38.19999999999999,73.09999999999997,89.3,135.9,18.400000000000002,46.2,51.599999999999966,162.0,60.89999999999999,175.2,75.09999999999997,72.5,173.10000000000002,28.000000000000004,81.39999999999998,158.4,71.80000000000001,29.400000000000002,0.3000000000000007,33.0,28.80000000000001,177.5,86.0,36.5,77.59999999999997,116.30000000000001,53.099999999999994,63.69999999999999,130.3,108.80000000000001,13.299999999999999,61.39999999999998,48.69999999999999,22.500000000000004,157.0,90.2,19.599999999999998,49.80000000000001,21.8,23.000000000000004,6.0,94.5,6.100000000000001,23.500000000000004,22.900000000000002,46.89999999999998,26.099999999999998,47.89999999999998,63.599999999999966,12.5,42.2,83.80000000000001,121.49999999999999,110.2,18.900000000000002,7.699999999999999,36.599999999999994,108.60000000000001,12.099999999999998,50.599999999999966,69.30000000000001,16.599999999999998,138.9,35.0,101.3,46.3,67.7,15.7,66.1,58.2,49.7,55.89999999999999,53.39999999999999,90.2,63.099999999999994,129.5,65.2,127.89999999999999,88.89999999999999,74.7,115.7,72.1,179.79999999999998,96.1,171.29999999999998,129.10000000000002,131.60000000000002,96.0,124.7,108.3,93.39999999999999,96.2,82.2,84.1,84.7
dark purple color,26.899999999999977,18.69999999999999,57.5,0.0,68.19999999999999,176.10000000000002,19.30000000000001,15.599999999999966,146.8,166.6,75.90000000000003,103.70000000000005,5.900000000000034,140.5,118.4,117.69999999999999,17.599999999999966,15.0,129.39999999999998,85.5,23.899999999999977,144.1,14.300000000000011,86.90000000000003,57.19999999999999,90.5,28.69999999999999,125.0,28.5,94.0,20.099999999999966,58.80000000000001,110.60000000000002,6.199999999999989,172.2,51.30000000000001,44.19999999999999,3.8999999999999773,8.800000000000011,80.0,99.5,147.70000000000002,77.10000000000002,7.699999999999989,79.30000000000001,80.5,63.5,152.0,63.60000000000002,81.0,80.40000000000003,10.600000000000023,83.60000000000002,9.600000000000023,6.099999999999966,45.0,99.69999999999999,26.30000000000001,179.0,167.70000000000002,76.40000000000003,49.80000000000001,94.10000000000002,166.10000000000002,69.60000000000002,6.900000000000034,11.800000000000011,40.900000000000034,163.6,92.5,158.8,103.80000000000001,125.20000000000002,73.19999999999999,123.60000000000002,115.70000000000002,107.20000000000002,113.4,110.9,147.70000000000002,120.60000000000002,173.0,122.70000000000002,174.6,146.4,132.20000000000002,173.20000000000002,129.60000000000002,122.29999999999998,153.60000000000002,113.79999999999998,173.39999999999998,170.89999999999998,153.5,177.79999999999998,165.8,150.9,153.70000000000002,139.70000000000002,141.60000000000002,142.20000000000002
dried blood color,95.09999999999997,86.89999999999998,10.7,68.19999999999999,0.0,107.9,48.89999999999998,83.79999999999995,78.6,125.19999999999999,7.700000000000003,35.50000000000001,62.299999999999955,151.29999999999998,50.199999999999996,174.1,85.79999999999995,83.19999999999999,162.4,17.300000000000004,92.09999999999997,147.7,82.5,18.700000000000003,11.0,22.300000000000004,39.5,166.79999999999998,96.69999999999999,25.800000000000004,88.29999999999995,127.00000000000003,42.4,74.39999999999998,119.6,119.50000000000003,24.0,72.09999999999997,59.39999999999998,11.800000000000004,167.70000000000002,79.5,8.899999999999999,60.5,11.100000000000001,12.300000000000004,4.699999999999999,83.80000000000001,4.599999999999998,12.800000000000004,12.200000000000003,57.599999999999966,15.399999999999999,58.599999999999966,74.29999999999995,23.2,31.5,94.5,110.79999999999998,99.5,8.200000000000003,18.4,25.9,97.9,1.3999999999999986,61.299999999999955,80.0,27.299999999999997,128.2,24.300000000000004,90.6,35.6,57.00000000000001,5.0,55.4,47.50000000000001,39.00000000000001,45.199999999999996,42.699999999999996,79.5,52.4,118.79999999999998,54.50000000000001,117.19999999999999,78.19999999999999,64.0,105.0,61.4,169.5,85.4,178.0,118.4,120.9,85.30000000000001,114.0,97.6,82.69999999999999,85.5,71.5,73.4,74.0
very dark green color,157.0,165.2,118.60000000000001,176.10000000000002,107.9,0.0,156.8,168.3,29.30000000000001,17.299999999999983,100.20000000000002,72.4,170.2,43.39999999999998,57.70000000000002,66.19999999999999,166.3,168.89999999999998,54.5,90.60000000000001,160.0,39.79999999999998,169.59999999999997,89.20000000000002,118.9,85.60000000000001,147.40000000000003,58.89999999999998,155.39999999999998,82.10000000000001,163.8,125.09999999999997,65.50000000000001,177.7,11.699999999999989,132.59999999999997,131.9,180.0,167.3,96.10000000000001,84.39999999999998,28.400000000000006,99.00000000000001,168.40000000000003,96.80000000000001,95.60000000000001,112.60000000000001,24.10000000000001,112.50000000000001,95.10000000000001,95.70000000000002,165.5,92.50000000000001,166.5,177.8,131.10000000000002,76.4,157.59999999999997,2.8999999999999773,8.400000000000006,99.70000000000002,126.30000000000001,82.00000000000001,10.0,106.50000000000001,169.2,172.09999999999997,135.20000000000002,20.299999999999983,83.60000000000001,17.30000000000001,72.30000000000001,50.900000000000006,102.9,52.500000000000014,60.400000000000006,68.9,62.70000000000002,65.20000000000002,28.400000000000006,55.500000000000014,10.899999999999977,53.400000000000006,9.299999999999983,29.700000000000017,43.900000000000006,2.9000000000000057,46.500000000000014,61.599999999999994,22.500000000000014,70.1,10.5,13.0,22.60000000000001,6.099999999999994,10.300000000000011,25.200000000000017,22.400000000000006,36.400000000000006,34.500000000000014,33.900000000000006
plum color,46.19999999999999,38.0,38.19999999999999,19.30000000000001,48.89999999999998,156.8,0.0,34.89999999999998,127.5,174.1,56.60000000000002,84.39999999999998,13.399999999999977,159.8,99.10000000000002,137.0,36.89999999999998,34.30000000000001,148.7,66.19999999999999,43.19999999999999,163.4,33.60000000000002,67.60000000000002,37.89999999999998,71.19999999999999,9.399999999999977,144.3,47.80000000000001,74.69999999999999,39.39999999999998,78.10000000000002,91.30000000000001,25.5,168.5,70.60000000000002,24.899999999999977,23.19999999999999,10.5,60.69999999999999,118.80000000000001,128.4,57.80000000000001,11.600000000000023,60.0,61.19999999999999,44.19999999999999,132.7,44.30000000000001,61.69999999999999,61.10000000000002,8.699999999999989,64.30000000000001,9.699999999999989,25.399999999999977,25.69999999999999,80.39999999999998,45.60000000000002,159.7,148.4,57.10000000000002,30.5,74.80000000000001,146.8,50.30000000000001,12.399999999999977,31.100000000000023,21.600000000000023,177.1,73.19999999999999,139.5,84.5,105.9,53.89999999999998,104.30000000000001,96.39999999999998,87.89999999999998,94.10000000000002,91.60000000000002,128.4,101.30000000000001,167.7,103.39999999999998,166.1,127.1,112.9,153.9,110.30000000000001,141.6,134.3,133.1,167.3,169.8,134.2,162.9,146.5,131.6,134.4,120.4,122.30000000000001,122.9
ultramarine color,11.300000000000011,3.1000000000000227,73.09999999999997,15.599999999999966,83.79999999999995,168.3,34.89999999999998,0.0,162.39999999999998,151.00000000000003,91.5,119.29999999999998,21.5,124.90000000000003,133.99999999999997,102.10000000000002,2.0,0.5999999999999659,113.80000000000001,101.09999999999997,8.300000000000011,128.50000000000003,1.2999999999999545,102.5,72.79999999999995,106.09999999999997,44.299999999999955,109.40000000000003,12.900000000000034,109.59999999999997,4.5,43.200000000000045,126.19999999999999,9.399999999999977,156.60000000000002,35.700000000000045,59.799999999999955,11.699999999999989,24.399999999999977,95.59999999999997,83.90000000000003,163.29999999999998,92.69999999999999,23.299999999999955,94.89999999999998,96.09999999999997,79.09999999999997,167.59999999999997,79.19999999999999,96.59999999999997,96.0,26.19999999999999,99.19999999999999,25.19999999999999,9.5,60.599999999999966,115.29999999999998,10.700000000000045,165.40000000000003,176.70000000000002,92.0,65.39999999999998,109.69999999999999,178.3,85.19999999999999,22.5,3.7999999999999545,56.5,148.00000000000003,108.09999999999997,174.39999999999998,119.39999999999998,140.79999999999998,88.79999999999995,139.2,131.29999999999998,122.79999999999998,128.99999999999997,126.49999999999997,163.29999999999998,136.2,157.40000000000003,138.29999999999998,159.00000000000003,161.99999999999997,147.79999999999998,171.20000000000002,145.2,106.70000000000002,169.2,98.20000000000002,157.8,155.3,169.09999999999997,162.20000000000002,178.60000000000002,166.49999999999997,169.29999999999998,155.29999999999998,157.2,157.79999999999998
dark olive color,173.7,165.5,89.3,146.8,78.6,29.30000000000001,127.5,162.39999999999998,0.0,46.599999999999994,70.9,43.099999999999994,140.89999999999998,72.69999999999999,28.400000000000006,95.5,164.39999999999998,161.8,83.80000000000001,61.3,170.7,69.1,161.10000000000002,59.9,89.6,56.3,118.10000000000002,88.19999999999999,175.3,52.8,166.89999999999998,154.39999999999998,36.2,153.0,41.0,161.89999999999998,102.6,150.7,138.0,66.8,113.69999999999999,0.9000000000000057,69.7,139.10000000000002,67.5,66.3,83.3,5.200000000000003,83.2,65.8,66.4,136.2,63.2,137.2,152.89999999999998,101.8,47.1,173.10000000000002,32.19999999999999,20.900000000000006,70.4,97.0,52.7,19.30000000000001,77.2,139.89999999999998,158.60000000000002,105.9,49.599999999999994,54.3,12.0,43.0,21.599999999999994,73.6,23.200000000000003,31.099999999999994,39.599999999999994,33.400000000000006,35.900000000000006,0.9000000000000057,26.200000000000003,40.19999999999999,24.099999999999994,38.599999999999994,0.4000000000000057,14.599999999999994,26.400000000000006,17.200000000000003,90.9,6.799999999999997,99.4,39.80000000000001,42.30000000000001,6.700000000000003,35.400000000000006,19.0,4.099999999999994,6.900000000000006,7.099999999999994,5.200000000000003,4.599999999999994
evergreen color,139.70000000000002,147.9,135.9,166.6,125.19999999999999,17.299999999999983,174.1,151.00000000000003,46.599999999999994,0.0,117.5,89.69999999999999,172.50000000000003,26.099999999999994,75.0,48.900000000000006,149.00000000000003,151.6,37.20000000000002,107.89999999999999,142.70000000000002,22.5,152.29999999999998,106.5,136.2,102.89999999999999,164.70000000000002,41.599999999999994,138.1,99.39999999999999,146.50000000000003,107.79999999999998,82.8,160.4,5.599999999999994,115.29999999999998,149.2,162.70000000000002,175.4,113.39999999999999,67.1,45.69999999999999,116.3,174.29999999999998,114.1,112.89999999999999,129.9,41.39999999999999,129.79999999999998,112.39999999999999,113.0,177.20000000000002,109.8,176.20000000000002,160.50000000000003,148.4,93.69999999999999,140.29999999999998,14.400000000000006,25.69999999999999,117.0,143.6,99.3,27.299999999999983,123.8,173.50000000000003,154.79999999999998,152.5,3.0,100.89999999999999,34.599999999999994,89.6,68.19999999999999,120.19999999999999,69.8,77.69999999999999,86.19999999999999,80.0,82.5,45.69999999999999,72.8,6.400000000000006,70.69999999999999,8.0,47.0,61.19999999999999,20.19999999999999,63.8,44.30000000000001,39.8,52.80000000000001,6.799999999999983,4.299999999999983,39.89999999999999,11.199999999999989,27.599999999999994,42.5,39.69999999999999,53.69999999999999,51.8,51.19999999999999
